spot_id,payment_id,payment_app,name,address,street_side,neighborhood,btd_district,type,ownership,lat,lon,pricing_summary,free_periods_summary,max_minutes,space_count,capacity,permit_zone,snow_emergency_tow,accessible,accessible_spaces,ev_charging,citation_rate_per_space_month,source,source_date,last_updated,data_completeness
meter_450001,450001,pay_and_display|ParkBoston,NEWBURY ST A-B,ARLI NEWBURY ST A-B,N,Back Bay,DISTRICT 0,on_street_meter,public,42.352311,-71.072687,Mon/Tue/Wed/Thu/Fri/Sat 08:00-20:00 $0.25/hr (120min max),Sun 00:00-24:00; Mon/Tue/Wed/Thu/Fri/Sat 00:00-08:00; Mon/Tue/Wed/Thu/Fri/Sat 20:00-24:00; city holidays (boston_meters),120,1,,887,False,False,0,False,0.3,analyze_boston,2026-06-14,2026-06-14,partial
meter_450002,450002,pay_and_display|ParkBoston,NEWBURY ST A-B,ARLI NEWBURY ST A-B,S,Back Bay,DISTRICT 0,on_street_meter,public,42.352431,-71.071808,Mon/Tue/Wed/Thu/Fri/Sat 08:00-20:00 $0.25/hr (120min max),Sun 00:00-24:00; Mon/Tue/Wed/Thu/Fri/Sat 00:00-08:00; Mon/Tue/Wed/Thu/Fri/Sat 20:00-24:00; city holidays (boston_meters),120,1,,,False,False,0,False,0.14,analyze_boston,2026-06-14,2026-06-14,partial
meter_450003,450003,pay_and_display|ParkBoston,NEWBURY ST A-B,ARLI NEWBURY ST A-B,N,Back Bay,DISTRICT 0,on_street_meter,public,42.352233,-71.072981,Mon/Tue/Wed/Thu/Fri/Sat 08:00-20:00 $0.25/hr (120min max),Sun 00:00-24:00; Mon/Tue/Wed/Thu/Fri/Sat 00:00-08:00; Mon/Tue/Wed/Thu/Fri/Sat 20:00-24:00; city holidays (boston_meters),120,1,,,False,False,0,False,0.26,analyze_boston,2026-06-14,2026-06-14,partial
meter_450004,450004,pay_and_display|ParkBoston,NEWBURY ST A-B,ARLI NEWBURY ST A-B,S,Back Bay,DISTRICT 0,on_street_meter,public,42.352339,-71.072151,Mon/Tue/Wed/Thu/Fri/Sat 08:00-20:00 $0.25/hr (120min max),Sun 00:00-24:00; Mon/Tue/Wed/Thu/Fri/Sat 00:00-08:00; Mon/Tue/Wed/Thu/Fri/Sat 20:00-24:00; city holidays (boston_meters),120,1,,,False,False,0,False,0.9,analyze_boston,2026-06-14,2026-06-14,partial
meter_450005,450005,pay_and_display|ParkBoston,NEWBURY ST A-B,ARLI NEWBURY ST A-B,N,Back Bay,DISTRICT 0,on_street_meter,public,42.352148,-71.073312,Mon/Tue/Wed/Thu/Fri/Sat 08:00-20:00 $0.25/hr (120min max),Sun 00:00-24:00; Mon/Tue/Wed/Thu/Fri/Sat 00:00-08:00; Mon/Tue/Wed/Thu/Fri/Sat 20:00-24:00; city holidays (boston_meters),120,1,,,False,False,0,False,,analyze_boston,2026-06-14,2026-06-14,partial
meter_450006,450006,pay_and_display|ParkBoston,NEWBURY ST A-B,ARLI NEWBURY ST A-B,S,Back Bay,DISTRICT 0,on_street_meter,public,42.352181,-71.072729,Mon/Tue/Wed/Thu/Fri/Sat 08:00-20:00 $0.25/hr (120min max),Sun 00:00-24:00; Mon/Tue/Wed/Thu/Fri/Sat 00:00-08:00; Mon/Tue/Wed/Thu/Fri/Sat 20:00-24:00; city holidays (boston_meters),120,1,,888,False,False,0,False,0.56,analyze_boston,2026-06-14,2026-06-14,partial
meter_450007,450007,pay_and_display|ParkBoston,NEWBURY ST B-C,BERK NEWBURY ST B-C,N,Back Bay,DISTRICT 0,on_street_meter,public,42.352023,-71.073982,Mon/Tue/Wed/Thu/Fri/Sat 08:00-20:00 $0.25/hr (120min max),Sun 00:00-24:00; Mon/Tue/Wed/Thu/Fri/Sat 00:00-08:00; Mon/Tue/Wed/Thu/Fri/Sat 20:00-24:00; city holidays (boston_meters),120,1,,889,False,False,0,False,0.09,analyze_boston,2026-06-14,2026-06-14,partial
meter_450008,450008,pay_and_display|ParkBoston,NEWBURY ST B-C,BERK NEWBURY ST B-C,S,Back Bay,DISTRICT 0,on_street_meter,public,42.351815,-71.073877,Mon/Tue/Wed/Thu/Fri/Sat 08:00-20:00 $0.25/hr (120min max),Sun 00:00-24:00; Mon/Tue/Wed/Thu/Fri/Sat 00:00-08:00; Mon/Tue/Wed/Thu/Fri/Sat 20:00-24:00; city holidays (boston_meters),120,1,,890,False,False,0,False,,analyze_boston,2026-06-14,2026-06-14,partial
meter_450009,450009,pay_and_display|ParkBoston,NEWBURY ST B-C,BERK NEWBURY ST B-C,N,Back Bay,DISTRICT 0,on_street_meter,public,42.351906,-71.0744,Mon/Tue/Wed/Thu/Fri/Sat 08:00-20:00 $0.25/hr (120min max),Sun 00:00-24:00; Mon/Tue/Wed/Thu/Fri/Sat 00:00-08:00; Mon/Tue/Wed/Thu/Fri/Sat 20:00-24:00; city holidays (boston_meters),120,1,,,False,False,0,False,3.71,analyze_boston,2026-06-14,2026-06-14,partial
meter_450010,450010,pay_and_display|ParkBoston,NEWBURY ST B-C,BERK NEWBURY ST B-C,S,Back Bay,DISTRICT 0,on_street_meter,public,42.351706,-71.074325,Mon/Tue/Wed/Thu/Fri/Sat 08:00-20:00 $0.25/hr (120min max),Sun 00:00-24:00; Mon/Tue/Wed/Thu/Fri/Sat 00:00-08:00; Mon/Tue/Wed/Thu/Fri/Sat 20:00-24:00; city holidays (boston_meters),120,1,,,False,False,0,False,,analyze_boston,2026-06-14,2026-06-14,partial
meter_450011,450011,pay_and_display|ParkBoston,NEWBURY ST B-C,BERK NEWBURY ST B-C,N,Back Bay,DISTRICT 0,on_street_meter,public,42.351761,-71.074972,Mon/Tue/Wed/Thu/Fri/Sat 08:00-20:00 $0.25/hr (120min max),Sun 00:00-24:00; Mon/Tue/Wed/Thu/Fri/Sat 00:00-08:00; Mon/Tue/Wed/Thu/Fri/Sat 20:00-24:00; city holidays (boston_meters),120,1,,,False,False,0,False,2.59,analyze_boston,2026-06-14,2026-06-14,partial
meter_450012,450012,pay_and_display|ParkBoston,NEWBURY ST B-C,BERK NEWBURY ST B-C,S,Back Bay,DISTRICT 0,on_street_meter,public,42.351458,-71.075241,Mon/Tue/Wed/Thu/Fri/Sat 08:00-20:00 $0.25/hr (120min max),Sun 00:00-24:00; Mon/Tue/Wed/Thu/Fri/Sat 00:00-08:00; Mon/Tue/Wed/Thu/Fri/Sat 20:00-24:00; city holidays (boston_meters),120,1,,,False,False,0,False,0.0,analyze_boston,2026-06-14,2026-06-14,partial
meter_450013,450013,pay_and_display|ParkBoston,NEWBURY ST C-D,CLAR NEWBURY ST C-D,N,Back Bay,DISTRICT 0,on_street_meter,public,42.351385,-71.076327,Mon/Tue/Wed/Thu/Fri/Sat 08:00-20:00 $0.25/hr (120min max),Sun 00:00-24:00; Mon/Tue/Wed/Thu/Fri/Sat 00:00-08:00; Mon/Tue/Wed/Thu/Fri/Sat 20:00-24:00; city holidays (boston_meters),120,1,,,False,False,0,False,1.62,analyze_boston,2026-06-14,2026-06-14,partial
meter_450014,450014,pay_and_display|ParkBoston,NEWBURY ST C-D,CLAR NEWBURY ST C-D,S,Back Bay,DISTRICT 0,on_street_meter,public,42.351284,-71.076032,Mon/Tue/Wed/Thu/Fri/Sat 08:00-20:00 $0.25/hr (120min max),Sun 00:00-24:00; Mon/Tue/Wed/Thu/Fri/Sat 00:00-08:00; Mon/Tue/Wed/Thu/Fri/Sat 20:00-24:00; city holidays (boston_meters),120,1,,,False,False,0,False,1.89,analyze_boston,2026-06-14,2026-06-14,partial
meter_450015,450015,pay_and_display|ParkBoston,NEWBURY ST C-D,CLAR NEWBURY ST C-D,N,Back Bay,DISTRICT 0,on_street_meter,public,42.351245,-71.076829,Mon/Tue/Wed/Thu/Fri/Sat 08:00-20:00 $0.25/hr (120min max),Sun 00:00-24:00; Mon/Tue/Wed/Thu/Fri/Sat 00:00-08:00; Mon/Tue/Wed/Thu/Fri/Sat 20:00-24:00; city holidays (boston_meters),120,1,,891,False,False,0,False,1.76,analyze_boston,2026-06-14,2026-06-14,partial
meter_450016,450016,pay_and_display|ParkBoston,NEWBURY ST C-D,CLAR NEWBURY ST C-D,S,Back Bay,DISTRICT 0,on_street_meter,public,42.351074,-71.076757,Mon/Tue/Wed/Thu/Fri/Sat 08:00-20:00 $0.25/hr (120min max),Sun 00:00-24:00; Mon/Tue/Wed/Thu/Fri/Sat 00:00-08:00; Mon/Tue/Wed/Thu/Fri/Sat 20:00-24:00; city holidays (boston_meters),120,1,,,False,False,0,False,3.05,analyze_boston,2026-06-14,2026-06-14,partial
meter_450017,450017,pay_and_display|ParkBoston,NEWBURY ST C-D,CLAR NEWBURY ST C-D,N,Back Bay,DISTRICT 0,on_street_meter,public,42.351131,-71.077271,Mon/Tue/Wed/Thu/Fri/Sat 08:00-20:00 $0.25/hr (120min max),Sun 00:00-24:00; Mon/Tue/Wed/Thu/Fri/Sat 00:00-08:00; Mon/Tue/Wed/Thu/Fri/Sat 20:00-24:00; city holidays (boston_meters),120,1,,,False,False,0,False,1.19,analyze_boston,2026-06-14,2026-06-14,partial
